,acccuracy,lr,n_epochs,n_hidden,n_units,val_accuracy
0,0.9173166751861572,0.01,12,1,10,0.9077000021934509
1,0.9657666683197021,0.01,12,1,25,0.9556999802589417
2,0.9783666729927063,0.01,12,1,50,0.958899974822998
3,0.9257833361625671,0.01,12,5,10,0.9215999841690063
4,0.955299973487854,0.01,12,5,25,0.9441999793052673
5,0.965399980545044,0.01,12,5,50,0.9435999989509583
6,0.8757333159446716,0.01,12,10,10,0.8992000222206116
7,0.7497000098228455,0.01,12,10,25,0.6740000247955322
8,0.10466666519641876,0.01,12,10,50,0.11349999904632568
9,0.935533344745636,0.01,24,1,10,0.9240999817848206
10,0.9673666954040527,0.01,24,1,25,0.9484999775886536
11,0.9860833287239075,0.01,24,1,50,0.9639000296592712
12,0.9388499855995178,0.01,24,5,10,0.9343000054359436
13,0.9673666954040527,0.01,24,5,25,0.9538999795913696
14,0.9715499877929688,0.01,24,5,50,0.9677000045776367
15,0.5198500156402588,0.01,24,10,10,0.5343000292778015
16,0.5033666491508484,0.01,24,10,25,0.5041000247001648
17,0.6237499713897705,0.01,24,10,50,0.6603000164031982
18,0.9416000247001648,0.001,12,1,10,0.939300000667572
19,0.9700999855995178,0.001,12,1,25,0.961899995803833
20,0.9860000014305115,0.001,12,1,50,0.9728999733924866
21,0.9389833211898804,0.001,12,5,10,0.9311000108718872
22,0.9778666496276855,0.001,12,5,25,0.9628000259399414
23,0.9876000285148621,0.001,12,5,50,0.9678000211715698
24,0.9185500144958496,0.001,12,10,10,0.9120000004768372
25,0.9713166952133179,0.001,12,10,25,0.960099995136261
26,0.9832333326339722,0.001,12,10,50,0.9689000248908997
27,0.9424833059310913,0.001,24,1,10,0.9329000115394592
28,0.9830333590507507,0.001,24,1,25,0.96670001745224
29,0.9958166480064392,0.001,24,1,50,0.9700000286102295
30,0.9457499980926514,0.001,24,5,10,0.9322999715805054
31,0.9849500060081482,0.001,24,5,25,0.9646999835968018
32,0.9922833442687988,0.001,24,5,50,0.9729999899864197
33,0.9408166408538818,0.001,24,10,10,0.9332000017166138
34,0.9825166463851929,0.001,24,10,25,0.961899995803833
35,0.9918833374977112,0.001,24,10,50,0.9732999801635742
36,0.9126499891281128,0.0001,12,1,10,0.9158999919891357
37,0.9351666569709778,0.0001,12,1,25,0.9355999827384949
38,0.9477999806404114,0.0001,12,1,50,0.9465000033378601
39,0.8654166460037231,0.0001,12,5,10,0.8658999800682068
40,0.9408833384513855,0.0001,12,5,25,0.9387000203132629
41,0.9681000113487244,0.0001,12,5,50,0.9599999785423279
42,0.8150666952133179,0.0001,12,10,10,0.8170999884605408
43,0.9319000244140625,0.0001,12,10,25,0.9279999732971191
44,0.9677666425704956,0.0001,12,10,50,0.9617000222206116
45,0.9255666732788086,0.0001,24,1,10,0.9257000088691711
46,0.9504666924476624,0.0001,24,1,25,0.9451000094413757
47,0.9657999873161316,0.0001,24,1,50,0.9589999914169312
48,0.9067833423614502,0.0001,24,5,10,0.9064000248908997
49,0.9616166949272156,0.0001,24,5,25,0.9509999752044678
50,0.9803833365440369,0.0001,24,5,50,0.9678999781608582
51,0.8590999841690063,0.0001,24,10,10,0.8543999791145325
52,0.9516833424568176,0.0001,24,10,25,0.9452999830245972
53,0.9826833605766296,0.0001,24,10,50,0.9646999835968018
